iteration,train_auc
1,0.7927739917396168
2,0.7934868803809727
3,0.7934868803809727
4,0.7958451769949677
5,0.7958451769949677
6,0.7961790627591525
7,0.7969185142706667
8,0.7983467505190922
9,0.7983473948335474
10,0.7990543864875259
11,0.799614703479365
12,0.800575190084971
13,0.8005873213180734
14,0.8007414634840748
15,0.8006952238544984
16,0.800677117611565
17,0.8013031093744778
18,0.8014288211651419
19,0.8027944028665027
20,0.8029712042631307
21,0.8032151100035301
22,0.8032933489064809
23,0.8036988970358369
24,0.8040599597823951
25,0.8046147598317114
26,0.8049755507581087
27,0.8048946288894967
28,0.805240912673238
29,0.8070651833453916
30,0.807536227549234
31,0.8079615858312351
32,0.8083356279904717
33,0.8086796365387929
34,0.8089589619562566
35,0.8091945419458046
36,0.8092705181976021
37,0.8095897911112906
38,0.8096911926155363
39,0.8098717919438556
40,0.8103688830629217
41,0.8106071460181309
42,0.8107508331753546
43,0.8110006510042513
44,0.8112817457696138
45,0.8115709523532932
46,0.8116436843811345
47,0.8118869307059586
48,0.8120096197557605
49,0.8121721480770931
50,0.8124761109719096
51,0.8125818464976082
52,0.8126732686783577
53,0.8127286847552144
54,0.813032582211844
55,0.8130637685415893
56,0.813264180539407
57,0.8132793772998785
58,0.8133607673032118
59,0.8134276828829825
60,0.813467814109501
61,0.8135718683771678
62,0.8136270352855439
63,0.8138643770724304
64,0.813907573826318
65,0.8140829481671019
66,0.81416486922649
67,0.8142023099367873
68,0.8142473515441733
69,0.8144707122107521
70,0.8146523182804077
71,0.814708942446868
72,0.8147699912415014
73,0.8148103061983136
74,0.81491300388203
75,0.8149324390235271
76,0.8151637529466627
77,0.8153459529937067
78,0.8154117611580075
79,0.8155925920368341
80,0.8157490874607091
81,0.8158040630882311
82,0.8159642910056103
83,0.8161985093775009
84,0.8163838454238077
85,0.8165429407571836
86,0.8165766087043228
87,0.8167918525188776
88,0.8169524453799912
89,0.8170890551456209
90,0.8172323874265235
91,0.817377408516018
92,0.8175875330508776
93,0.8176815878602218
94,0.8178658341090318
95,0.8180702151845678
96,0.8181663136788245
97,0.8183241782709167
98,0.8184951305003809
99,0.8186791577829504
100,0.8188028711920619
101,0.8190064091217288
102,0.8190845070808925
103,0.8192845868540692
104,0.819409697116785
105,0.819619537247217
106,0.8197582712370662
107,0.819895228328457
108,0.8200650907604244
109,0.8201784498348921
110,0.8203150319151349
111,0.8204486214567556
112,0.8206017870836606
113,0.8207871608827674
114,0.8208150048312761
115,0.8209946276204991
116,0.8211667501867669
117,0.821345552481801
118,0.8214846463816777
119,0.8215552491515926
120,0.8216973003541449
121,0.8217534010151104
122,0.8219011302387995
123,0.8220479810806725
124,0.8221611362900194
125,0.8223252628132236
126,0.8223848291812393
127,0.8225037731532701
128,0.8225237796204756
129,0.8226534403540314
130,0.8227959596913051
131,0.822951382935657
132,0.8230746634459938
133,0.8231739734451133
134,0.8232809875323088
135,0.8234039911887783
136,0.8235098903099439
137,0.8236225799014231
138,0.8237047828483854
139,0.8237822213919739
140,0.8239154434730067
141,0.8240761319745473
142,0.8241955516318595
143,0.8242968348439981
144,0.8244264905438473
145,0.8245072236484586
146,0.8246145372412018
147,0.824775895225731
148,0.8248537968703342
149,0.8249568569809315
150,0.8250193731010624
151,0.8251123230117899
152,0.8252823465223714
153,0.8253630645258629
154,0.8254299197011532
155,0.8255676192642794
156,0.825677366654203
157,0.825812642487562
158,0.8258810253928303
159,0.8259646302271036
160,0.8260708288538169
161,0.8261292450198556
162,0.8262977030476593
163,0.8263707094125144
164,0.826464411862391
165,0.8265654886925556
166,0.8267355373716704
167,0.826821588587391
168,0.8268990220972726
169,0.8270088349253832
170,0.8270692645740948
171,0.8271613361030062
172,0.8273031482044911
173,0.8274532130680804
174,0.8276233146011154
175,0.8277090965135283
176,0.8277811791932077
177,0.8278630549492358
178,0.8279141873417066
179,0.8279605779824835
180,0.8280725653718803
181,0.8281417285016843
182,0.8281905428722284
183,0.8283166598762802
184,0.8283814461981247
185,0.8285314506572337
186,0.8285703511424685
187,0.8286220020067274
188,0.8286733055452253
189,0.8287429921805243
190,0.8288986218068499
191,0.8289788263722598
192,0.829057319477398
193,0.8291857897393236
194,0.8292743502578246
195,0.8294069280244023
196,0.8295293049843898
197,0.8296119181784468
198,0.8297027086290081
199,0.8298352712944655
200,0.829909800355592
